Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,image
plc-10301-beige,Palace 10301 Beige/ Grey Oriental Rug,"<p>The Palace Beige Oriental Rug combines timeless design with exceptional craftsmanship.</p><h3>Product Details</h3><ul>
<li>
<strong>Primary Color:</strong> Beige</li>
<li>
<strong>Color Blend:</strong> Beige/ Grey</li>
<li>
<strong>Primary Pattern:</strong> Oriental</li>
<li>
<strong>Secondary Pattern:</strong> Oriental</li>
<li>
<strong>Model:</strong> PAL103012X3</li>
<li>
<strong>Country of Origin:</strong> India</li>
<li>
<strong>Style:</strong> Traditional</li>
<li>
<strong>Fiber Type:</strong> Wool</li>
<li>
<strong>Back Type:</strong> KNOTTED WOOL</li>
<li>
<strong>Weave:</strong> Hand-Knotted</li>
<li>
<strong>Pile Type:</strong> Cut Pile</li>
<li>
<strong>Pile Height:</strong> 0.06</li>
</ul>
<p><em>The Palace collection is a beautiful selection of traditional Oushak patterns in modern, yet classic colors. Hand-knotted of the softest wools, Palace delivers an unparallel level of luxury craftsmanship for the most discerning customer.</em></p>",Oriental Weavers,Home & Garden > Decor > Rugs,Traditional,"Category: Traditional/Traditional, Collection: PLC, Fiber Type: Wool, Shape: Rectangle, Style Type: Traditional, Weave: Hand-Knotted",True,Color,Beige,,Size,Scatter 2' X  3',,,,,P10301060091ST,0.0,shopify,12.0,deny,manual,299.5,599.0,True,True,,,,,748679460595.0,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,1.0,Palace 10301 Beige Oriental Rug,False,Oriental Weavers PALACE Traditional Oriental Hand-Knotted Wool Rug,The Palace Beige Oriental Rug combines timeless design with exceptional craftsmanship.,Home & Garden > Decor > Rugs,,,,new,False,Weave: Hand-Knotted,,,,,False,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,lb,,,active,data/rugs/0000_palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg
plc-10301-beige,,,,,,,,,Beige,,,"Runner 2' 6"" X 10'",,,,,P10301076305ST,0.0,shopify,12.0,deny,manual,1299.0,2599.0,True,True,,,,,748679459544.0,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_rs_3b1a7946-126c-48aa-a9d6-67a3fa098f43.jpg?v=1762562005,2.0,Palace 10301 Beige Oriental Rug,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_runner_5ed5cd38-1cb9-48a1-81f0-b1a9305818dd.jpg?v=1762562005,lb,,,,data/rugs/0001_palace_10301_rs_3b1a7946-126c-48aa-a9d6-67a3fa098f43.jpg
plc-10301-beige,,,,,,,,,Beige,,,6X9,,,,,P10301183275ST,0.0,shopify,10.0,deny,manual,2699.0,5399.0,True,True,,,,,748679459551.0,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_runner_5ed5cd38-1cb9-48a1-81f0-b1a9305818dd.jpg?v=1762562005,3.0,Palace 10301 Beige Oriental Rug,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,lb,,,,data/rugs/0002_palace_10301_runner_5ed5cd38-1cb9-48a1-81f0-b1a9305818dd.jpg
plc-10301-beige,,,,,,,,,Beige,,,8X11 (8′ X 10′),,,,,P10301244305ST,0.0,shopify,15.0,deny,manual,3899.0,7799.0,True,True,,,,,748679459568.0,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_corner_d4923e58-5a04-4e4f-abef-32b8c70e8475.jpg?v=1762562005,4.0,Palace 10301 Beige Oriental Rug,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,lb,,,,data/rugs/0003_palace_10301_corner_d4923e58-5a04-4e4f-abef-32b8c70e8475.jpg
plc-10301-beige,,,,,,,,,Beige,,,8X11 (9′ X 12′),,,,,P10301275366ST,0.0,shopify,18.0,deny,manual,5299.0,10599.0,True,True,,,,,748679459575.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,lb,,,,
plc-10301-beige,,,,,,,,,Beige,,,10X13,,,,,P10301305427ST,0.0,shopify,9.0,deny,manual,6899.0,13799.0,True,True,,,,,748679459582.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/palace_10301_52882c27-d023-4858-ae91-1603ab077fc4.jpg?v=1762562005,lb,,,,
ultrg-0003c-beige,Gripguard 0003C Beige Rug Pad,"<p>The Gripguard Beige Abstract Rug combines timeless design with exceptional craftsmanship.</p><h3>Product Details</h3><ul>
<li>
<strong>Primary Color:</strong> Beige</li>
<li>
<strong>Color Blend:</strong> Beige/ Beige</li>
<li>
<strong>Primary Pattern:</strong> Abstract</li>
<li>
<strong>Secondary Pattern:</strong> Abstract</li>
<li>
<strong>Model:</strong> ULT3C2X4</li>
<li>
<strong>Country of Origin:</strong> China</li>
<li>
<strong>Style:</strong> Rug Pad</li>
<li>
<strong>Fiber Type:</strong> Polyester</li>
<li>
<strong>Weave:</strong> Machine-Woven</li>
<li>
<strong>Pile Height:</strong> 0.00</li>
</ul><p><em>Non-slip polymer coated polyester with a 15 year warranty, GripGuard provides extra cushioning for use on all hard surface floors.</em></p>",Oriental Weavers,Home & Garden > Household Supplies > Rug Pads,Rug Pads,"Category: Rug Pad/Rug Pad, Collection: ULTRG, Fiber Type: Polyester, Non-Slip, Rug Pad, Shape: Rectangle, Style Type: Rug Pad, Weave: Machine-Woven",True,Color,Beige,,Size,"SCATTER (1' 8"" X  3' 4"")",,,,,U0003C051102ST,0.0,shopify,10.0,deny,manual,11.6,29.0,True,True,,,,,748679209910.0,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,1.0,Gripguard 0003C Beige Rug Pad,False,Gripguard Beige Rug Pad | Rug Town,"Gripguard 0003C Beige 1' 8"" X  3' 4""",Home & Garden > Decor > Rugs,,,,new,False,,,,,,False,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,active,data/rugs/0006_0003c.jpg
ultrg-0003c-beige,,,,,,,,,Beige,,,"RUNNER (1'11"" X  7'10"")",,,,,U0003C058239ST,0.0,shopify,10.0,deny,manual,23.6,59.0,True,True,,,,,748679209927.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"4X6 (3'10"" X  5'10"")",,,,,U0003C117178ST,0.0,shopify,10.0,deny,manual,39.6,99.0,True,True,,,,,748679209934.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"5X8 (4'10"" X  7'10"")",,,,,U0003C147239ST,0.0,shopify,10.0,deny,manual,55.6,139.0,True,True,,,,,748679209941.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"ROUND (5' 6"")",,,,,U0003C167RNDST,0.0,shopify,10.0,deny,manual,51.6,129.0,True,True,,,,,748679210008.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"5X8 (5'10"" X  8'10"")",,,,,S0003C178269ST,0.0,shopify,10.0,deny,manual,79.6,199.0,True,True,,,,,748679209958.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"ROUND (7' 6"")",,,,,U0003C228RNDST,0.0,shopify,10.0,deny,manual,87.6,219.0,True,True,,,,,748679210015.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"8X11 (7'10"" X 10'10"")",,,,,U0003C239330ST,0.0,shopify,10.0,deny,manual,123.6,309.0,True,True,,,,,748679209965.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"8X11 (8'10"" X 11'10"")",,,,,U0003C269361ST,0.0,shopify,10.0,deny,manual,143.6,359.0,True,True,,,,,748679209972.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"10X13 (9' 8"" X 13' 8"")",,,,,U0003C294416ST,0.0,shopify,10.0,deny,manual,183.6,459.0,True,True,,,,,748679209989.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
ultrg-0003c-beige,,,,,,,,,Beige,,,"12X15 (11' 8"" X 14' 8"")",,,,,U0003C355447ST,0.0,shopify,10.0,deny,manual,227.6,569.0,True,True,,,,,748679209996.0,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/5765/3814/files/0003c.jpg?v=1762214079,lb,,,,
